"awc_code","commonName","scientificName"
"AC","Arctic char","Salvelinus alpinus"
"AL","Arctic lamprey","Lethenteron camtschaticum"
"AW","Arctic cisco","Coregonus autumnalis"
"BC","broad whitefish","Coregonus nasus"
"BW","Bering cisco","Coregonus laurettae"
"CH","chum salmon","Oncorhynchus keta"
"CO","coho salmon","Oncorhynchus kisutch"
"CT","cutthroat trout","Oncorhynchus clarkii"
"DV","Dolly Varden","Salvelinus malma"
"GS","green sturgeon","Acipenser medirostris"
"HW","humpback whitefish","Coregonus pidschian"
"K","Chinook salmon","Oncorhynchus tshawytscha"
"LC","least cisco","Coregonus sardinella"
"LP","lamprey sp.",
"LV","river lamprey","Lethenteron ayresii"
"OL","longfin smelt","Spirinchus thaleichthys"
"OM","rainbow smelt","Osmerus mordax"
"OU","eulachon","Thaleichthys pacificus"
"P","pink salmon","Oncorhynchus gorbuscha"
"PC","Pacific lamprey","Entosphenus tridentatus"
"S","sockeye salmon","Oncorhynchus nerka"
"SF","inconnu","Stenodus leucichthys"
"SH","steelhead","Oncorhynchus mykiss"
"SM","smelt sp.",
"ST","sturgeon sp.",
"W","whitefish sp.",
"WS","white sturgeon","Acipenser transmontanus"
