"species","commonName","scientificName"
"Alaska blackfish","Alaska blackfish","Dallia pectoralis"
"Chinook salmon","Chinook salmon","Oncorhynchus tshawytscha"
"Dolly Varden","Dolly Varden","Salvelinus malma"
"Pacific salmon-unspecified","Pacific salmon sp.",
"coho salmon","coho salmon","Oncorhynchus kisutch"
"lamprey-unspecified","lamprey sp.",
"ninespine stickleback","ninespine stickleback","Pungitius pungitius"
"rainbow trout","rainbow trout","Oncorhynchus mykiss"
"salmonid, unspecified","salmonid sp.",
"sculpin-unspecified","sculpin sp.",
"slimy sculpin","slimy sculpin","Cottus cognatus"
"sockeye salmon","sockeye salmon","Oncorhynchus nerka"
"stickleback-unspecified","stickleback sp.",
"threespine stickleback","threespine stickleback","Gasterosteus aculeatus"
