"raw","species"
"3 Spine Stickleback","Gasterosteus aculeatus"
"3SSB","Gasterosteus aculeatus"
"9SSB","Pungitius pungitius"
"Chinook","Oncorhynchus tshawytscha"
"Coho","Oncorhynchus kisutch"
"Dolly Varden","Salvelinus malma"
"DV","Salvelinus malma"
"Lamp","Lampetra sp."
"Lamprey","Lampetra sp."
"Rainbow Trout/Steelhead","Oncorhynchus mykiss"
"RT","Oncorhynchus mykiss"
"Steel","Oncorhynchus mykiss"
"Sculpin","Cottus sp."
"Sock","Oncorhynchus nerka"
"Sockeye","Oncorhynchus nerka"
"Stickleback","Stickleback sp."
