"species","commonName","scientificName"
"Alaska blackfish","Alaska blackfish","Dallia pectoralis"
"Alaskan brook lamprey","Alaskan brook lamprey","Lethenteron alaskense"
"Arctic char","Arctic char","Salvelinus alpinus"
"Arctic grayling","Arctic grayling","Thymallus arcticus"
"Arctic lamprey","Arctic lamprey","Lethenteron camtschaticum"
"Chinook salmon","Chinook salmon","Oncorhynchus tshawytscha"
"Dolly Varden","Dolly Varden","Salvelinus malma"
"Pacific lamprey","Pacific lamprey","Entosphenus tridentatus"
"Pacific salmon-unspecified","Pacific salmon sp.",
"Pacific staghorn sculpin","Pacific staghorn sculpin","Leptocottus armatus"
"chum salmon","chum salmon","Oncorhynchus keta"
"coastrange sculpin","coastrange sculpin","Cottus aleuticus"
"coho salmon","coho salmon","Oncorhynchus kisutch"
"eulachon","eulachon","Thaleichthys pacificus"
"humpback whitefish complex","humpback whitefish complex",
"lake trout","lake trout","Salvelinus namaycush"
"lamprey-unspecified","lamprey sp.",
"longnose sucker","longnose sucker","Catostomus catostomus"
"ninespine stickleback","ninespine stickleback","Pungitius pungitius"
"northern pike","northern pike","Esox lucius"
"pink salmon","pink salmon","Oncorhynchus gorbuscha"
"pygmy whitefish","pygmy whitefish","Prosopium coulterii"
"rainbow trout","rainbow trout","Oncorhynchus mykiss"
"righteye flounders-unspecified","righteye flounder sp.",
"round whitefish","round whitefish","Prosopium cylindraceum"
"salmonid-unspecified","salmonid sp.",
"sculpin-unspecified","sculpin sp.",
"slimy sculpin","slimy sculpin","Cottus cognatus"
"smelt-unspecified","smelt sp.",
"sockeye salmon","sockeye salmon","Oncorhynchus nerka"
"starry flounder","starry flounder","Platichthys stellatus"
"stickleback-unspecified","stickleback sp.",
"threespine stickleback","threespine stickleback","Gasterosteus aculeatus"
"whitefish-unspecified","whitefish sp.",
